# Time,Accel
3.8000,3.3982940e-03
3.8050,2.1205400e-03
3.8100,-9.7809590e-04
3.8150,-5.5474730e-03
3.8200,-1.0900670e-02
3.8250,-1.5894760e-02
3.8300,-1.8042800e-02
3.8350,-1.4349520e-02
3.8400,-5.1289320e-03
3.8450,5.3048960e-03
3.8500,1.2710110e-02
3.8550,1.5349690e-02
3.8600,1.3825250e-02
3.8650,1.0066480e-02
3.8700,5.8471120e-03
3.8750,2.3232830e-03
3.8800,2.5815850e-04
3.8850,-5.8947430e-05
3.8900,1.0447020e-03
3.8950,2.8139130e-03
3.9000,4.1475490e-03
3.9050,3.8680310e-03
3.9100,1.3792640e-03
3.9150,-2.7529160e-03
3.9200,-7.0343300e-03
3.9250,-1.0106320e-02
3.9300,-1.1547350e-02
3.9350,-1.2140270e-02
3.9400,-1.3055330e-02
3.9450,-1.4777140e-02
3.9500,-1.6740160e-02
3.9550,-1.7744670e-02
3.9600,-1.6896960e-02
3.9650,-1.4381900e-02
3.9700,-1.1348010e-02
3.9750,-8.9047100e-03
3.9800,-7.4409630e-03
3.9850,-6.5699930e-03
3.9900,-5.9007660e-03
3.9950,-5.6717660e-03
4.0000,-6.2772280e-03
4.0050,-7.4003460e-03
4.0100,-7.5713260e-03
4.0150,-5.2949170e-03
4.0200,-5.9927780e-04
4.0250,4.9391600e-03
4.0300,9.5277270e-03
4.0350,1.2601240e-02
4.0400,1.4575040e-02
4.0450,1.5788890e-02
4.0500,1.6104360e-02
4.0550,1.5129800e-02
4.0600,1.2787430e-02
4.0650,9.3177450e-03
4.0700,4.9948120e-03
4.0750,-1.6522820e-04
4.0800,-6.2428340e-03
4.0850,-1.2612200e-02
4.0900,-1.7956800e-02
4.0950,-2.1315260e-02
4.1000,-2.2724170e-02
4.1050,-2.2495580e-02
4.1100,-2.0395800e-02
4.1150,-1.6492640e-02
4.1200,-1.1876890e-02
4.1250,-7.5505250e-03
4.1300,-3.5695660e-03
4.1350,4.0830610e-04
4.1400,4.2789050e-03
4.1450,7.5403320e-03
4.1500,1.0119650e-02
4.1550,1.2363140e-02
4.1600,1.4301230e-02
4.1650,1.5591350e-02
4.1700,1.5863750e-02
4.1750,1.4738970e-02
4.1800,1.1899000e-02
4.1850,7.4831410e-03
4.1900,2.3132310e-03
4.1950,-2.4031640e-03
4.2000,-5.5356910e-03
4.2050,-6.4889760e-03
4.2100,-5.5521280e-03
4.2150,-3.5794040e-03
4.2200,-1.5853190e-03
4.2250,-2.0807520e-04
4.2300,5.7801310e-04
4.2350,8.3391880e-04
4.2400,4.5493160e-04
4.2450,-5.9495610e-04
4.2500,-1.9951340e-03
4.2550,-3.1402950e-03
4.2600,-3.6683160e-03
4.2650,-3.6215060e-03
4.2700,-3.3868100e-03
4.2750,-3.4571020e-03
4.2800,-4.0677160e-03
4.2850,-5.0224690e-03
4.2900,-5.6567250e-03
4.2950,-5.0883490e-03
4.3000,-3.0012630e-03
4.3050,1.0988530e-04
4.3100,3.4781890e-03
4.3150,6.4565740e-03
4.3200,8.6141790e-03
4.3250,9.6238870e-03
4.3300,9.0703520e-03
4.3350,6.5400800e-03
4.3400,2.3780380e-03
4.3450,-2.0356750e-03
4.3500,-5.1446330e-03
4.3550,-6.0695920e-03
4.3600,-4.8247330e-03
4.3650,-2.2033890e-03
4.3700,4.7151790e-04
4.3750,1.9648320e-03
4.3800,1.6983380e-03
4.3850,-4.6808370e-04
4.3900,-4.1783000e-03
4.3950,-8.2430960e-03
4.4000,-1.1462000e-02
4.4050,-1.3275580e-02
4.4100,-1.3565900e-02
4.4150,-1.2546450e-02
4.4200,-1.0643580e-02
4.4250,-8.4647470e-03
4.4300,-6.7605820e-03
4.4350,-5.9997100e-03
4.4400,-6.1351910e-03
4.4450,-6.7140420e-03
4.4500,-6.9077600e-03
4.4550,-5.8010210e-03
4.4600,-2.9132810e-03
4.4650,1.1206640e-03
4.4700,4.5896440e-03
4.4750,6.0614620e-03
4.4800,5.1225670e-03
4.4850,2.1696870e-03
4.4900,-1.9453420e-03
4.4950,-6.0897650e-03
4.5000,-9.0513400e-03
4.5050,-1.0274190e-02
4.5100,-1.0109630e-02
4.5150,-9.3105850e-03
4.5200,-8.7382590e-03
4.5250,-9.2375310e-03
4.5300,-1.1097900e-02
4.5350,-1.3676750e-02
4.5400,-1.5579620e-02
4.5450,-1.5386830e-02
4.5500,-1.2704760e-02
4.5550,-8.4072240e-03
4.5600,-3.7815630e-03
4.5650,1.4716610e-04
4.5700,2.8129780e-03
4.5750,4.2460560e-03
4.5800,4.8649820e-03
4.5850,5.2152210e-03
4.5900,5.6844530e-03
4.5950,6.2345500e-03
4.6000,6.4521010e-03
4.6050,5.7877770e-03
4.6100,3.9314870e-03
4.6150,1.1989710e-03
4.6200,-1.4867070e-03
4.6250,-3.1573690e-03
4.6300,-3.2581070e-03
4.6350,-1.8104580e-03
4.6400,1.0125240e-03
4.6450,5.2920020e-03
4.6500,1.0777590e-02
4.6550,1.6363770e-02
4.6600,2.0393230e-02
4.6650,2.1690270e-02
4.6700,2.0282450e-02
4.6750,1.6915560e-02
4.6800,1.2347250e-02
4.6850,7.5494860e-03
4.6900,3.6438610e-03
4.6950,9.2412990e-04
4.7000,-1.2520610e-03
4.7050,-3.3175450e-03
4.7100,-4.7705340e-03
4.7150,-4.4821820e-03
4.7200,-1.7982420e-03
4.7250,2.5130120e-03
4.7300,6.8005660e-03
4.7350,9.8801380e-03
4.7400,1.1514450e-02
4.7450,1.1939070e-02
4.7500,1.1759620e-02
4.7550,1.1377560e-02
4.7600,1.0478780e-02
4.7650,8.9777210e-03
4.7700,7.3453050e-03
4.7750,5.9475530e-03
4.7800,4.7910330e-03
4.7850,3.7084960e-03
4.7900,2.3896640e-03
4.7950,6.3397430e-04
4.8000,-9.8527120e-04
4.8050,-1.2645640e-03
4.8100,4.2653840e-04
4.8150,3.2063400e-03
4.8200,5.1104840e-03
4.8250,4.2204630e-03
4.8300,-1.9698130e-04
4.8350,-6.8707560e-03
4.8400,-1.2927500e-02
4.8450,-1.5793920e-02
4.8500,-1.4835240e-02
4.8550,-1.0891510e-02
4.8600,-5.1377230e-03
4.8650,1.3791720e-03
4.8700,7.7070460e-03
4.8750,1.2284090e-02
4.8800,1.3465620e-02
4.8850,1.1051010e-02
4.8900,6.1124430e-03
4.8950,3.9512890e-04
4.9000,-3.9185730e-03
4.9050,-5.1255060e-03
4.9100,-2.6599300e-03
4.9150,2.7861330e-03
4.9200,9.3577000e-03
4.9250,1.4845780e-02
4.9300,1.7957690e-02
4.9350,1.8802730e-02
4.9400,1.7898400e-02
4.9450,1.5333870e-02
4.9500,1.1161840e-02
4.9550,5.7530080e-03
4.9600,-6.0692800e-04
4.9650,-7.4449030e-03
4.9700,-1.3399310e-02
4.9750,-1.6828500e-02
4.9800,-1.6710350e-02
4.9850,-1.2724540e-02
4.9900,-5.2234450e-03
4.9950,4.4381610e-03
5.0000,1.3515740e-02
5.0050,1.8865340e-02
5.0100,1.9374720e-02
5.0150,1.6038590e-02
5.0200,1.0139340e-02
5.0250,3.2163030e-03
5.0300,-2.4066440e-03
5.0350,-4.8212600e-03
5.0400,-4.2749840e-03
5.0450,-2.2243800e-03
5.0500,7.3656160e-04
5.0550,4.8557570e-03
5.0600,1.0091720e-02
5.0650,1.5504440e-02
5.0700,1.9793530e-02
5.0750,2.2221260e-02
5.0800,2.3099950e-02
5.0850,2.3304170e-02
5.0900,2.3161530e-02
5.0950,2.2308690e-02
5.1000,2.0502170e-02
5.1050,1.7960450e-02
5.1100,1.5146510e-02
5.1150,1.2896100e-02
5.1200,1.1964390e-02
5.1250,1.2103330e-02
5.1300,1.2069890e-02
5.1350,1.0674880e-02
5.1400,7.7063780e-03
5.1450,4.1162750e-03
5.1500,1.8179020e-03
5.1550,2.3124000e-03
5.1600,5.3834080e-03
5.1650,9.5517370e-03
5.1700,1.3501860e-02
5.1750,1.7023240e-02
5.1800,2.0477700e-02
5.1850,2.3757020e-02
5.1900,2.5915010e-02
5.1950,2.5688480e-02
5.2000,2.2402980e-02
5.2050,1.5840180e-02
5.2100,5.8433650e-03
5.2150,-6.8415930e-03
5.2200,-1.9936170e-02
5.2250,-3.0720910e-02
5.2300,-3.7751470e-02
5.2350,-4.1068770e-02
5.2400,-4.1070670e-02
5.2450,-3.8225380e-02
5.2500,-3.3648400e-02
5.2550,-2.8844250e-02
5.2600,-2.4680280e-02
5.2650,-2.1086430e-02
5.2700,-1.7829940e-02
5.2750,-1.4944700e-02
5.2800,-1.2246000e-02
5.2850,-9.2598990e-03
5.2900,-5.7474700e-03
5.2950,-2.0880530e-03
5.3000,8.9415970e-04
5.3050,2.5098150e-03
5.3100,2.4231050e-03
5.3150,4.4189390e-04
5.3200,-3.5083200e-03
5.3250,-8.9738020e-03
5.3300,-1.4832180e-02
5.3350,-2.0073910e-02
5.3400,-2.4646410e-02
5.3450,-2.9291560e-02
5.3500,-3.4163070e-02
5.3550,-3.7614410e-02
5.3600,-3.7371180e-02
5.3650,-3.2414970e-02
5.3700,-2.3340970e-02
5.3750,-1.2383040e-02
5.3800,-3.3024040e-03
5.3850,6.7649600e-04
5.3900,-3.3178840e-04
5.3950,-3.6626480e-03
5.4000,-7.1071000e-03
5.4050,-9.3008830e-03
5.4100,-8.8209350e-03
5.4150,-4.7189660e-03
5.4200,2.4437770e-03
5.4250,1.0951050e-02
5.4300,1.8435620e-02
5.4350,2.1923840e-02
5.4400,1.9797730e-02
5.4450,1.3472530e-02
5.4500,6.1054130e-03
5.4550,5.1636920e-04
5.4600,-2.2255300e-03
5.4650,-2.7713550e-03
5.4700,-2.0504750e-03
5.4750,-6.1950560e-04
5.4800,1.0707000e-03
5.4850,2.7879620e-03
5.4900,4.8492440e-03
5.4950,7.7766200e-03
5.5000,1.1605700e-02
5.5050,1.5823020e-02
5.5100,1.9768540e-02
5.5150,2.2849300e-02
5.5200,2.4756070e-02
5.5250,2.5093450e-02
5.5300,2.3344310e-02
5.5350,2.0505690e-02
5.5400,1.8844790e-02
5.5450,1.9567120e-02
5.5500,2.2401550e-02
5.5550,2.6272660e-02
5.5600,2.9187710e-02
5.5650,2.9104530e-02
5.5700,2.5042810e-02
5.5750,1.7254650e-02
5.5800,7.7614280e-03
5.5850,-6.1033330e-04
5.5900,-5.9260230e-03
5.5950,-7.5388870e-03
5.6000,-5.9974640e-03
5.6050,-2.5447360e-03
5.6100,1.2930160e-03
5.6150,4.0880330e-03
5.6200,5.0345230e-03
5.6250,4.4042790e-03
5.6300,3.3071920e-03
5.6350,2.8559130e-03
5.6400,3.5630400e-03
5.6450,5.0523140e-03
5.6500,6.4714060e-03
5.6550,7.1103100e-03
5.6600,6.3312330e-03
5.6650,3.5757090e-03
5.6700,-9.7787480e-04
5.6750,-6.2030040e-03
5.6800,-1.0560640e-02
5.6850,-1.2964650e-02
5.6900,-1.3363100e-02
5.6950,-1.2284260e-02
5.7000,-1.0309920e-02
5.7050,-8.2008820e-03
5.7100,-6.8600660e-03
5.7150,-6.9920050e-03
5.7200,-8.8832840e-03
5.7250,-1.2203690e-02
5.7300,-1.5898560e-02
5.7350,-1.8538470e-02
5.7400,-1.9237380e-02
5.7450,-1.7844080e-02
5.7500,-1.4315560e-02
5.7550,-9.0171260e-03
5.7600,-3.2475220e-03
5.7650,1.5609480e-03
5.7700,5.0940150e-03
5.7750,8.3924720e-03
5.7800,1.2263450e-02
5.7850,1.5945210e-02
5.7900,1.8413730e-02
5.7950,1.9610000e-02
5.8000,1.9954000e-02
5.8050,1.9765470e-02
5.8100,1.9203340e-02
5.8150,1.8462130e-02
5.8200,1.7780670e-02
5.8250,1.7115830e-02
5.8300,1.5752330e-02
5.8350,1.2325140e-02
5.8400,5.8924190e-03
5.8450,-3.0023950e-03
5.8500,-1.2899460e-02
5.8550,-2.1795900e-02
5.8600,-2.7221390e-02
5.8650,-2.8149860e-02
5.8700,-2.5210310e-02
5.8750,-1.9236580e-02
5.8800,-1.2138390e-02
5.8850,-6.5850460e-03
5.8900,-3.7095220e-03
5.8950,-2.9909180e-03
5.9000,-3.6986950e-03
5.9050,-5.4181580e-03
5.9100,-7.7963370e-03
5.9150,-1.0611020e-02
5.9200,-1.4349570e-02
5.9250,-2.0021940e-02
5.9300,-2.7750720e-02
5.9350,-3.6308520e-02
5.9400,-4.3613810e-02
5.9450,-4.7534220e-02
5.9500,-4.6968950e-02
5.9550,-4.2305720e-02
5.9600,-3.5250170e-02
5.9650,-2.7738060e-02
5.9700,-2.0744930e-02
5.9750,-1.4398890e-02
5.9800,-8.7865010e-03
5.9850,-3.8923750e-03
5.9900,7.5121610e-04
5.9950,5.4634410e-03
6.0000,9.8183350e-03
6.0050,1.2967770e-02
6.0100,1.3978690e-02
6.0150,1.1329020e-02
6.0200,3.7135230e-03
6.0250,-7.8741840e-03
6.0300,-1.9930050e-02
6.0350,-2.8242810e-02
6.0400,-3.0623230e-02
6.0450,-2.7302550e-02
6.0500,-1.9035750e-02
6.0550,-7.4273820e-03
6.0600,4.7197830e-03
6.0650,1.5500540e-02
6.0700,2.4955940e-02
6.0750,3.3551640e-02
6.0800,4.0865430e-02
6.0850,4.6097200e-02
6.0900,4.8982970e-02
6.0950,4.9432290e-02
6.1000,4.6884940e-02
6.1050,4.1222240e-02
6.1100,3.3111580e-02
6.1150,2.3333320e-02
6.1200,1.3094240e-02
6.1250,3.9415610e-03
6.1300,-3.3609440e-03
6.1350,-9.4439950e-03
6.1400,-1.5483550e-02
6.1450,-2.1765440e-02
6.1500,-2.7292060e-02
6.1550,-3.0848280e-02
6.1600,-3.2182990e-02
6.1650,-3.1814470e-02
6.1700,-3.0421730e-02
6.1750,-2.9095330e-02
6.1800,-2.9431780e-02
6.1850,-3.2895880e-02
6.1900,-3.9949830e-02
6.1950,-4.9110020e-02
6.2000,-5.7810630e-02
6.2050,-6.4270330e-02
6.2100,-6.7193470e-02
6.2150,-6.5286290e-02
6.2200,-5.8186530e-02
6.2250,-4.7235500e-02
6.2300,-3.5128130e-02
6.2350,-2.4446330e-02
6.2400,-1.7097290e-02
6.2450,-1.4250430e-02
6.2500,-1.5423350e-02
6.2550,-1.8790320e-02
6.2600,-2.2516320e-02
6.2650,-2.5302630e-02
6.2700,-2.6678180e-02
6.2750,-2.7009110e-02
6.2800,-2.6890750e-02
6.2850,-2.6781220e-02
6.2900,-2.6922900e-02
6.2950,-2.7100630e-02
6.3000,-2.6576990e-02
6.3050,-2.4386850e-02
6.3100,-1.9152800e-02
6.3150,-9.4595040e-03
6.3200,4.6341650e-03
6.3250,2.2183830e-02
6.3300,4.1306620e-02
6.3350,5.8510340e-02
6.3400,7.1265610e-02
6.3450,7.8741140e-02
6.3500,8.1255190e-02
6.3550,8.0627360e-02
6.3600,7.8600270e-02
6.3650,7.5670900e-02
6.3700,7.2055330e-02
6.3750,6.8306910e-02
6.3800,6.4831210e-02
6.3850,6.1548960e-02
6.3900,5.8212030e-02
6.3950,5.4522550e-02
6.4000,4.9789930e-02
6.4050,4.2749540e-02
6.4100,3.2201710e-02
6.4150,1.7929140e-02
6.4200,1.1796930e-04
